Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 77032|NYPO                                     |-35.7000|142.0000|VIC |   76.8|1448.7
 26095|CAPE JAFFA (THE LIMESTONE)               |-36.9655|139.7164|SA  |   17.0|1448.8
 33150|WATTLEVALE STATION                       |-19.9119|147.8517|QLD |   15.0|1449.0
 26004|CAPE JAFFA (JAFFA HILLS)                 |-36.9706|139.7100|SA  |   10.0|1449.0
 76025|MANANGATANG                              |-35.0551|142.8832|VIC |   55.0|1449.1
 77041|SPEED (POST OFFICE)                      |-35.4004|142.4380|VIC |   85.0|1449.5
  5009|MARILLANA                                |-22.6331|119.4081|WA  |  430.0|1450.0
 35066|SPRINGWOOD STATION                       |-24.5325|148.3508|QLD |  260.0|1450.6
 43016|KILMOREY                                 |-26.1000|148.1833|QLD |  609.6|1451.3
 33153|MOUNT ABERDEEN                           |-20.2042|147.9547|QLD |  150.0|1451.6
 78043|YANAC NORTH                              |-36.1114|141.4182|VIC |  130.0|1451.9
 78026|LILLIMUR (KILDONAN)                      |-36.3000|141.1000|VIC |  108.6|1451.9
 78034|SERVICETON                               |-36.3667|140.9833|VIC |  118.9|1451.9
 49039|RAVENSFIELD                              |-33.6000|144.5000|NSW |   84.4|1452.1
 49042|ST ANDREWS                               |-33.6000|144.5000|NSW |   84.4|1452.1
  4009|COONGAN STATION                          |-20.6833|119.6667|WA  |   72.2|1452.1
 48059|COBAR (MERYULA)                          |-31.6050|146.0583|NSW |  250.0|1452.3
 35051|ORION                                    |-24.2644|148.3825|QLD |  250.0|1452.5
 49020|JUANBUNG                                 |-34.2000|143.9167|NSW |   70.1|1452.6
 12008|BOOYLGOO SPRING                          |-27.7228|119.9067|WA  |  610.0|1452.7
 77037|RAINBOW (PIGICK)                         |-35.8715|141.8172|VIC |   91.0|1452.9
 49038|PAIKA                                    |-34.5000|143.6000|NSW |   67.8|1453.0
 49050|TIN TIN                                  |-34.5000|143.6000|NSW |   67.8|1453.0
 44128|CLONARD                                  |-28.0167|147.7500|QLD |  192.1|1453.4
 49052|TRIDA (COGIE)                            |-33.0000|145.0500|NSW |   97.5|1453.7
 35002|ARCTURUS DOWNS                           |-24.0344|148.4064|QLD |  200.0|1454.2
 12084|WIDGIEMOOLTHA                            |-31.4942|121.5781|WA  |  300.0|1454.8
 76011|MANANGATANG (DAYTRAP)                    |-35.1966|142.8014|VIC |   62.0|1455.1
 26035|NOOLOOK WELL (NOOLOOK FOREST RESERVE)    |-36.9994|139.7994|SA  |   14.0|1455.3
 26100|PADTHAWAY SOUTH                          |-36.6539|140.5212|SA  |   37.0|1455.4
 33097|MOSS VALE STATION                        |-20.2392|148.0031|QLD |  130.0|1455.5
  4013|ETTRICK                                  |-20.5167|119.6667|WA  |   57.7|1455.6
 35090|REWAN STATION                            |-24.9586|148.3744|QLD |  306.0|1456.0
 48000|BREWARRINA ABORIGINAL STATION            |-30.0000|147.0000|NSW |  112.2|1456.0
 77036|RAINBOW (PELLA)                          |-35.8317|141.9370|VIC |   79.0|1456.2
 77055|TURRIFF                                  |-35.4667|142.4667|VIC |   76.0|1456.5
 44112|CUNNYANA                                 |-27.4419|147.9483|QLD |  267.0|1456.6
 48092|GLENARIFF                                |-30.8000|146.6000|NSW |  159.7|1457.3
 78025|LILLIMUR ESTATE                          |-36.3664|141.1144|VIC |  135.0|1458.4
 76039|NANDALY                                  |-35.3167|142.7000|VIC |   66.0|1458.5
 26037|BORDERTOWN (YACCA VALE)                  |-36.5822|140.7293|SA  |   90.0|1458.7
 49017|GLEN DEE                                 |-34.3000|143.9000|NSW |   62.6|1458.7
 48176|BREWARRINA (YAPPALEE)                    |-29.9744|147.0493|NSW |  122.0|1459.4
 43000|AMBY                                     |-26.5478|148.1850|QLD |  366.0|1459.5
 33168|BLENHEIM STATION                         |-21.0714|148.2236|QLD |  265.0|1459.6
 26058|BORDERTOWN (BEEAMMA SECTION 95)          |-36.6064|140.7118|SA  |   90.0|1460.0
 49072|JUMPING SAND HILL WELL                   |-33.5000|144.7000|NSW |   92.8|1460.0
 76014|HAYSDALE                                 |-34.8833|143.2667|VIC |   62.0|1460.0
 48035|DUMBLE                                   |-29.2000|147.4000|NSW |  140.2|1460.3
  4015|HILLSIDE STATION                         |-21.7219|119.3989|WA  |  271.0|1460.5
 78024|LECOR VIEW POINT                         |-36.4000|141.1000|VIC |  127.2|1460.6
  4040|WARRALONG                                |-20.6472|119.5869|WA  |   84.0|1460.6
 49002|BALRANALD (RSL)                          |-34.6398|143.5610|NSW |   61.0|1460.9
 35235|CARINA DOWNS                             |-24.2294|148.4708|QLD |  220.0|1461.2
 35195|MAYWIN PARK                              |-23.0286|148.4686|QLD |  220.0|1461.6
 48071|SUSSEX                                   |-31.4000|146.3000|NSW |  248.0|1461.8
 12018|COOLGARDIE                               |-30.9586|121.1739|WA  |  427.0|1461.8
 48046|GOODOOGA POST OFFICE                     |-29.1142|147.4543|NSW |  140.0|1462.1
 35189|CONSUELO                                 |-24.6553|148.4594|QLD |  240.0|1462.2
 48045|GONGOLGON POST OFFICE                    |-30.3500|146.9000|NSW |  137.0|1462.6
 26069|LUCINDALE (GREENVALE)                    |-36.8073|140.3870|SA  |   35.0|1463.0
 12035|HIGGINSVILLE                             |-31.7333|121.6333|WA  |  319.0|1463.1
 26030|BISCUIT FLAT (WOOLMIT)                   |-37.0153|139.9612|SA  |    8.0|1463.4
 49044|SHEARLEYS TANK                           |-31.9000|146.0000|NSW |  264.2|1463.7
